epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2259,0.97429,0.44843,0.82872,0.95485,0.93074,0.96264,0.72704,0.87891,0.44886,0.83482,0.00142935,0.00142935,0.00142935
74,2288.41,0.93589,0.4403,0.83073,0.94369,0.94237,0.96872,0.72218,0.88268,0.44106,0.83453,0.00142605,0.00142605,0.00142605
75,2316.02,0.96447,0.45492,0.83665,0.95936,0.93934,0.96898,0.73649,0.85165,0.4386,0.83262,0.00142275,0.00142275,0.00142275
76,2349.21,0.99926,0.45268,0.82852,0.9672,0.93986,0.95331,0.72663,0.87334,0.43717,0.83348,0.00141945,0.00141945,0.00141945
77,2373.51,0.97593,0.45329,0.82752,0.9672,0.93986,0.95331,0.72663,0.87334,0.43717,0.83348,0.00141615,0.00141615,0.00141615
78,2405.31,0.9686,0.46039,0.84411,0.97969,0.94238,0.95322,0.72152,0.90358,0.43864,0.8371,0.00141285,0.00141285,0.00141285
79,2433.71,0.98993,0.45555,0.83212,0.9856,0.9422,0.98246,0.73948,0.90221,0.43853,0.83795,0.00140955,0.00140955,0.00140955
80,2464.5,0.99118,0.46152,0.83039,0.96331,0.9405,0.97869,0.73133,0.90002,0.4466,0.84056,0.00140625,0.00140625,0.00140625
81,2491.26,1.08823,0.47421,0.83407,0.96331,0.9405,0.97869,0.73133,0.90002,0.4466,0.84056,0.00140295,0.00140295,0.00140295
82,2521.44,0.97985,0.45014,0.83737,0.98693,0.94207,0.98662,0.73567,0.84688,0.43217,0.83451,0.00139965,0.00139965,0.00139965
83,2554.97,1.13954,0.47774,0.8277,0.97789,0.94144,0.9535,0.74324,0.84484,0.42602,0.83337,0.00139635,0.00139635,0.00139635
84,2587.35,1.09421,0.47043,0.82945,0.97213,0.91099,0.951,0.72975,0.93058,0.45261,0.84086,0.00139305,0.00139305,0.00139305
85,2611.99,0.98847,0.45634,0.83308,0.97213,0.91099,0.951,0.72975,0.93058,0.45261,0.84086,0.00138974,0.00138974,0.00138974
86,2640.05,0.9944,0.45873,0.83472,0.94298,0.94653,0.95142,0.74365,0.89233,0.44831,0.83742,0.00138644,0.00138644,0.00138644
87,2667.32,0.99931,0.45386,0.83012,0.95155,0.93848,0.96541,0.74934,0.91123,0.46088,0.83788,0.00138314,0.00138314,0.00138314
